Id,Content,Sentiment
49640624,the end ,Negative
43505275,god over everything ,Negative
43505275,i m sorry ,Negative
43505275,god    please forgive me ,Negative
43505275,this day couldn t get any worse   ,Negative
43505275,i m about to delete my twitter in a second,Negative
9.19E+17,rt AT_USER depression  i want to die,Negative
9.19E+17,rt AT_USER i want to fucking die sometimes,Negative
9.19E+17,AT_USER when i die  i want this face to be the last thing i see ,Negative
9.19E+17,rt AT_USER when people ask why your twitter is full of tweets of you just saying  i want to die  repeatedly URL,Negative
9.19E+17,AT_USER i ve been struggling through depression for about a year now and my mom died to stage four brain cancer and it s been hard ,Negative
4.28E+17,my family would probably be better off without me ,Negative
4.28E+17,my family would be better off without me,Negative
4.29E+17,im starting to think that my family would be better off  ultimately  without me   fuckup  moreharmthangood,Negative
4.29E+17,URL this jaggoff performs exorcisms over skype  the power of christ compels you  AT_USER AT_USER AT_USER,Negative
4.29E+17,if i ever have to write a lesson plan in a group again i m gonna kill myself,Negative
4.29E+17,AT_USER wow  what a jaggoff  drink some more budlight and get a grip  leave parents out before i talk about yo mama ,Negative
4.29E+17,AT_USER AT_USER also  judging from his jumping and prone techniques  looks like if the ied is at a certain height  jump or prone  you die,Negative
4.29E+17,my family would be better off without me  ,Negative
4.30E+17,rt AT_USER indirect tweets are cowardly  this tweet is direct to all the indirect  indirectly  courageously   ,Negative
4.30E+17,rt AT_USER indirect tweets are cowardly  this tweet is direct to all the indirect  indirectly  courageously   ,Negative
4.30E+17,rt AT_USER sometimes ifeel like my family would be better off without me ,Negative
4.30E+17,AT_USER indirect to 95  of my school who think depression and suicide is a joke URL,Negative
4.30E+17,indirect suicide ,Negative
4.30E+17,i have a specific plan to kill myself ,Negative
4.30E+17,seems as if my family would be better off and much happier  without me  ,Negative
4.30E+17,rt AT_USER seems as if my family would be better off and much happier  without me  ,Negative
4.30E+17,my family would be better off without me anyway,Negative
4.30E+17,rt AT_USER  patriarchyis a fear of fatness  an idealization of whiteness  a quashing of sexuality  and a colonization of agency ,Negative
4.30E+17,rt AT_USER  patriarchyis a fear of fatness  an idealization of whiteness  a quashing of sexuality  and a colonization of agency ,Negative
4.31E+17,no  i do not plan to kill myself  i have a planet to secularize  no time to die  daniel vragsinn,Positive
4.31E+17,shamefaced,Negative
4.31E+17,right after i interview a woman working to end sexual harassment on metro and transit systems  i get harassed on metro  sounds about right ,Negative
4.31E+17,video  witnesses from home depot  nagin sent threatening  intimidating emails URL,Negative
4.31E+17,threatening emails from yelp are the best ,Negative
4.31E+17,according to AT_USER internet troll has been harassing and threatening me and my family for the last 4 years URL,Negative
4.31E+17,believed to be same guy who sent threatening emails to roger williams law school earlier today ,Negative
4.31E+17,everyone around me  my friends  my family  would be so much better off without me,Negative
4.31E+17,AT_USER so have i so i have a plan to turn 18 and kill myself   ,Negative
4.31E+17,AT_USER my family would probably be better off without me    don t say that      ,Negative
4.31E+17,reproachful b tch,Negative
4.31E+17,you ll be sorry when i m gone ,Negative
4.31E+17,my friends go first    point blank  my family would be better off without me  so yeah  friends come first,Negative
4.31E+17,heavy hearted  very heavy hearted ,Negative
4.31E+17,i m too depressed to go on  you ll be sorry when i m gone ,Negative
4.31E+17,you ll be sorry when i m gone  ,Negative
4.31E+17,you ll be sorry when i m gone,Negative
4.31E+17,what is something you have always wanted to try  hm  cutting wrist  not eating till i get super thin  jk    ha    URL,Negative
4.31E+17,had one of those fretful nights  hoping today goes well  sword of damocles is hanging above me for some reason ,Negative
4.31E+17,rt AT_USER had one of those fretful nights  hoping today goes well  sword of damocles is hanging above me for some reason ,Negative
4.31E+17,heavy hearted ,Negative
4.31E+17,rt AT_USER shoutout to AT_USER for almost cutting my wrist off and AT_USER for almost catching my whole arm on fire   ,Negative
4.31E+17,hey guys  i m back home  today is kind of cheerless  i just want to go to bed and sleep  d ,Negative
4.31E+17,you ll be sorry when i m gone ,Negative
4.31E+17,ehret tripping now they be cutting they wrist and shit hanging they self they on that dope here,Negative
4.31E+17,AT_USER i ve given up today and am just composing this kind of text  URL,Negative
4.31E+17,so heavy hearted today   ripmom  ripryan       ,Negative
4.31E+17,do you often get the feeling that perhaps life isn t worth living ,Negative
4.31E+17,feel like just ending it all  my life isn t worth living without you in it ,Negative
4.31E+17,noreen  suicidal lang  cutting your wrist   hahaha x ,Negative
4.31E+17,i bet i wud be cutting my wrist now if i were a girl but hey   turn to allahswt   its just a test from him haidar   ,Negative
4.31E+17,rt AT_USER this weather makes me wish i were dead ,Negative
4.31E+17,i m too depressed to go on you ll be sorry when i m gone,Negative
4.31E+17,i m too depressed to go on  you ll be sorry when i m gone    ,Negative
4.31E+17,       suicide attack                                                            ,Negative
4.31E+17,rt AT_USER you ll be sorry when i m gone rt AT_USER AT_USER you re gonna miss me when i m gone,Negative
4.31E+17,heavy hearted ,Negative
4.31E+17,life really isn t worth living    ,Negative
4.31E+17,you ll be sorry when i m gone ,Negative
4.31E+17,i m too depressed  to go on  you ll be sorry when i m gone,Negative
4.31E+17,i wish you were dead ,Negative
4.31E+17,rt AT_USER before i die  i want to URL,Negative
4.31E+17,rt AT_USER     before i die  i want to URL,Negative
4.31E+17,AT_USER and should you die before me   i ll do the same  ,Negative
4.31E+17,i wanna get away    but i don t know where  i don t want to leave   sad  badday  depressed  tired URL,Negative
4.31E+17,rt AT_USER i m more depressed then ever  ,Negative
4.31E+17,depressed  angry  tired  done,Negative
4.31E+17,very disappointed AT_USER isn t offering anything closet to an alternative  URL AT_USER AT_USER  spoilyourvote,Negative
4.31E+17,disappointed ,Negative
4.31E+17,rt AT_USER i m so heartbroken by this   my prayers go out to her family and friends       magconmaddie URL,Negative
4.31E+17,i m hopeless and awkward and desperate  ,Negative
4.31E+17,full on harassing me at the end of school,Negative
4.31E+17,drowning my sorrows in dirty chai and tattoo shows,Negative
